iter	RMSE
0	0.3892729729
1	0.3812513703
2	0.3728727735
3	0.3654996757
4	0.3596504665
5	0.3533627855
6	0.3470903966
7	0.3406424861
8	0.3353396827
9	0.3294448639
10	0.3237280416
11	0.3190290368
12	0.3141472013
13	0.3095614059
14	0.3053587629
15	0.3011713945
16	0.2971089341
17	0.2928841548
18	0.2890823874
19	0.2859468542
20	0.2821284919
21	0.2784013293
22	0.2753956307
23	0.2726296246
24	0.2686459745
25	0.2654219433
26	0.2625392974
27	0.2597557933
28	0.2577980624
29	0.2548105581
30	0.2520684384
31	0.2500140209
32	0.2470146822
33	0.2449185088
34	0.2421774025
35	0.2400124583
36	0.2378313357
37	0.235890004
38	0.233310893
39	0.2320194643
40	0.2300850437
41	0.2282849407
42	0.2266137483
43	0.2252201726
44	0.2236884027
45	0.2219539262
46	0.2205907284
47	0.2191587011
48	0.2179462367
49	0.2157474143
50	0.2142915604
51	0.2126868792
52	0.2112709641
53	0.2100898184
54	0.2089340677
55	0.2072054796
56	0.2059090601
57	0.2049011998
58	0.2033354458
59	0.2020055493
60	0.2011036541
61	0.1997510859
62	0.1983823737
63	0.1972279069
64	0.1961992613
65	0.1952990451
66	0.1943488794
67	0.1933460076
68	0.1928181046
69	0.1917549874
70	0.1906402247
71	0.189244893
72	0.1883090884
73	0.1875287399
74	0.1868079672
75	0.1858875625
76	0.1853746657
77	0.1842762589
78	0.183733371
79	0.1828034859
80	0.1818309937
81	0.1806701464
82	0.1802696627
83	0.1793953549
84	0.1785631545
85	0.1778038977
86	0.1775710523
87	0.1769648729
88	0.1763158548
89	0.1756062513
90	0.1747901787
91	0.1738435138
92	0.172956736
93	0.1724463998
94	0.1719142816
95	0.1715558765
96	0.1712409573
97	0.1707777924
98	0.1701348944
99	0.1694617805
100	0.1690312693
101	0.1684593735
102	0.167860183
103	0.1670813231
104	0.1664281948
105	0.1660096406
106	0.1654494144
107	0.164986516
108	0.1645040173
109	0.1639978317
110	0.1636688461
111	0.1633142307
112	0.1627564443
113	0.161994081
114	0.1616178306
115	0.161161782
116	0.1607046163
117	0.1603190114
118	0.1598503339
119	0.1593628676
120	0.159199708
121	0.1588182434
122	0.1585930077
123	0.158201879
124	0.1576474394
125	0.1572452358
126	0.1567435281
127	0.156319368
128	0.1560261324
129	0.1554145365
130	0.154877393
131	0.1544333373
132	0.1538774817
133	0.1533105063
134	0.1528329372
135	0.1524788425
136	0.1519939543
137	0.1515123884
138	0.1513750946
139	0.1512229967
140	0.1506933849
141	0.1504101912
142	0.1500177599
143	0.1496161399
144	0.1492791754
145	0.1485015573
146	0.1480449964
147	0.1476917868
148	0.1474877379
149	0.1471267489
150	0.1465592014
151	0.1463641836
152	0.1461266209
153	0.145778393
154	0.1452031714
155	0.1446812364
156	0.1443257099
157	0.1439715251
158	0.1435226035
159	0.1430419478
160	0.1426542941
161	0.1421769125
162	0.1417605198
163	0.141508046
164	0.1410420842
165	0.140581852
166	0.1403643395
167	0.1401879063
168	0.1398987874
169	0.1393175555
170	0.13918265
171	0.1388863604
172	0.1382676185
173	0.1380582382
174	0.1375063747
175	0.1372991402
176	0.1369070232
177	0.13636309
178	0.1359993032
179	0.1354921688
180	0.135050252
181	0.1346627017
182	0.1342090249
183	0.1336948905
184	0.1332163292
185	0.1329297876
186	0.1326008641
187	0.1321593641
188	0.131938475
189	0.1315813719
190	0.1312018053
191	0.1309655255
192	0.1306329625
193	0.1304539274
194	0.130180309
195	0.129941469
196	0.1297299826
197	0.129421618
198	0.1289820196
199	0.1286273314
200	0.1283346472
201	0.1279220862
202	0.127557885
203	0.1270710515
204	0.1267714074
205	0.1265668487
206	0.1263652062
207	0.126167006
208	0.1259840932
209	0.1257820163
210	0.1256607405
211	0.1253898508
212	0.1251468629
213	0.1248613324
214	0.1245505812
215	0.1243788472
216	0.1241715033
217	0.1236433484
218	0.1234610227
219	0.1229628612
220	0.1225904675
221	0.122257135
222	0.1219028435
223	0.121550381
224	0.121303719
225	0.1211948071
226	0.1210259018
227	0.1206678383
228	0.1203391214
229	0.1199425715
230	0.1196615564
231	0.1195601714
232	0.1193654114
233	0.1192192698
