iter	Passed	Remaining
0	4	3293
1	7	3135
2	11	2951
3	15	3089
4	20	3210
5	24	3197
6	29	3355
7	33	3304
8	37	3287
9	41	3299
10	45	3268
11	49	3251
12	53	3230
13	57	3213
14	60	3189
15	64	3165
16	68	3143
17	71	3126
18	75	3119
19	79	3097
20	83	3084
21	86	3073
22	90	3062
23	94	3049
24	98	3065
25	103	3082
26	108	3097
27	111	3083
28	116	3095
29	120	3082
30	123	3074
31	127	3071
32	132	3073
33	136	3074
34	140	3067
35	145	3090
36	149	3085
37	154	3093
38	159	3104
39	164	3131
40	170	3164
41	175	3162
42	179	3152
43	184	3169
44	188	3164
45	192	3156
46	196	3145
47	200	3147
48	204	3136
49	208	3129
50	213	3131
51	218	3137
52	222	3131
53	227	3136
54	231	3135
55	236	3137
56	242	3156
57	247	3171
58	254	3202
59	259	3204
60	265	3212
61	269	3210
62	276	3229
63	280	3227
64	285	3224
65	291	3240
66	296	3245
67	302	3261
68	307	3256
69	312	3260
70	317	3261
71	322	3263
72	328	3268
73	332	3265
74	336	3255
75	341	3255
76	345	3245
77	350	3246
78	355	3243
79	359	3233
80	364	3234
81	369	3231
82	372	3220
83	376	3211
84	381	3209
85	385	3200
86	389	3193
87	394	3188
88	398	3180
89	402	3171
90	406	3164
91	411	3164
92	415	3158
93	419	3148
94	424	3153
95	428	3144
96	432	3133
97	436	3124
98	441	3124
99	445	3115
100	449	3111
101	454	3106
102	458	3101
103	462	3097
104	466	3089
105	470	3082
106	476	3085
107	480	3078
108	485	3078
109	491	3085
110	496	3081
111	501	3082
112	506	3080
113	510	3072
114	515	3068
115	519	3062
116	523	3057
117	529	3058
118	533	3050
119	536	3042
120	541	3039
121	545	3033
122	549	3024
123	554	3023
124	558	3018
125	562	3009
126	565	2998
127	570	2993
128	573	2983
129	576	2973
130	580	2965
131	584	2958
132	588	2950
133	591	2942
134	595	2935
135	599	2925
136	602	2917
137	606	2909
138	610	2905
139	614	2896
140	618	2889
141	622	2885
142	626	2876
143	629	2869
144	633	2862
145	638	2858
146	641	2851
147	645	2844
148	649	2836
149	652	2828
150	656	2820
151	660	2814
152	663	2806
153	667	2799
154	671	2793
155	675	2787
156	678	2780
157	682	2773
158	686	2769
159	690	2763
160	694	2756
161	698	2750
162	702	2743
163	705	2736
164	710	2734
165	714	2727
166	717	2719
167	720	2711
168	725	2706
169	728	2700
170	732	2692
171	736	2690
172	740	2683
173	744	2677
174	748	2671
175	752	2666
176	755	2658
177	758	2651
178	762	2645
179	766	2639
180	769	2632
181	774	2628
182	778	2625
183	782	2618
184	785	2612
185	790	2608
186	793	2602
187	797	2595
188	800	2587
189	804	2583
190	808	2576
191	811	2570
192	814	2562
193	819	2558
194	822	2552
195	826	2546
196	829	2540
197	833	2535
198	838	2532
199	842	2526
200	846	2521
201	849	2515
202	853	2509
203	857	2504
204	860	2498
205	864	2492
206	868	2488
207	872	2482
208	876	2477
209	879	2471
210	884	2468
211	887	2461
212	891	2455
213	895	2451
214	898	2445
215	902	2439
216	905	2433
217	909	2428
218	913	2423
219	917	2418
220	921	2413
221	924	2407
222	928	2403
223	933	2400
224	937	2395
225	941	2390
226	944	2384
227	948	2380
228	952	2375
229	956	2370
230	961	2367
231	965	2364
232	970	2361
233	974	2358
234	979	2354
235	983	2349
236	987	2345
237	991	2340
238	994	2334
239	998	2330
240	1002	2325
241	1005	2319
242	1010	2316
243	1013	2310
244	1017	2305
245	1021	2299
246	1025	2295
247	1028	2290
248	1032	2285
249	1037	2283
250	1041	2278
251	1045	2273
252	1049	2268
253	1052	2262
254	1056	2257
255	1060	2253
256	1064	2248
257	1067	2243
258	1071	2237
259	1075	2233
260	1078	2228
261	1082	2223
262	1086	2218
263	1090	2213
264	1093	2208
265	1097	2203
266	1101	2197
267	1104	2193
268	1108	2189
269	1112	2183
270	1115	2178
271	1120	2174
272	1124	2170
